File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
c893ee1c-45c3-4b03-9a2a-b47e0f840ab9	83a03a9a-2cb2-4b35-bc80-b4c422ae7ccb.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-86-8674	TCGA-86-8674-01A	Primary Tumor
4898173f-74e7-4f07-8fc7-5cc830028648	b838f31a-077e-4476-8e28-10a4e85c0326.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-50-5051	TCGA-50-5051-01A	Primary Tumor
7006f16a-e9d2-44ed-b549-690176145a98	a03ddf72-f37c-4bd3-ae22-33de7091e227.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-67-3773	TCGA-67-3773-01A	Primary Tumor
54eb639d-f2a9-4e19-9039-796d6df2eeae	185e2931-8222-4e12-9a84-ec93076e0620.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-69-8253	TCGA-69-8253-01A	Primary Tumor
189a446b-e7d1-4801-a8b3-e68e1aaf440d	bee3beb2-3739-47a0-a6bb-1db22d0882aa.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-NJ-A55R	TCGA-NJ-A55R-01A	Primary Tumor
6e1afae2-d3bb-46fc-84c5-2703f98b1a6b	bc802faf-8352-4c4e-8890-93d37af15071.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-78-7539	TCGA-78-7539-01A	Primary Tumor
5db941e1-5e0c-4fec-bd39-1a6b6b3eb2af	d0f51e84-29be-4527-ad49-11dff47f084a.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-55-6970	TCGA-55-6970-01A	Primary Tumor
aad371ec-48ad-47af-a86a-e089090edff7	aac267a8-e7b1-4afa-ad85-6c6f7ac448cd.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-86-8359	TCGA-86-8359-01A	Primary Tumor
902f5062-83fa-4ea0-a971-5cdca206e241	02e669a4-b5fe-4825-8ee9-35e8cb65de4c.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-99-8032	TCGA-99-8032-01A	Primary Tumor
5fa58573-7e72-4553-af87-7c9bcb185368	35eaeea5-d89c-46fd-8a4b-f979bc3e2ae0.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-NJ-A4YG	TCGA-NJ-A4YG-01A	Primary Tumor
06f18a3b-9e5d-42ee-beaf-92f76ca0d10b	50ab4792-b16a-4e4d-a0a0-ad917509711d.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-55-8302	TCGA-55-8302-01A	Primary Tumor
bacce8f7-c25b-48eb-bf87-5c3a9de29652	6308f034-7caa-4e71-8a85-63abbae57c32.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-99-8025	TCGA-99-8025-01A	Primary Tumor
4a2c3060-e88e-4d73-beeb-4743ca017aa1	74a84a90-2f65-4099-b832-f37b15ee1f8e.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-86-8076	TCGA-86-8076-01A	Primary Tumor
a34442e4-762b-486e-b6bb-733a4cd74366	178a09a6-e0ac-4156-b575-474f74064c64.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-MP-A4TF	TCGA-MP-A4TF-01A	Primary Tumor
c1b4c503-899e-4791-ad18-4619b2740f96	c86af67e-b25a-4dcb-b436-bdfe7a5428c2.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-78-7161	TCGA-78-7161-01A	Primary Tumor
023b0bf9-3954-439b-8230-689e11ebd39a	9fb0324a-992d-4d1e-9f04-76d307ccb754.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-NJ-A55O	TCGA-NJ-A55O-01A	Primary Tumor
0f2a9e39-e3f9-4c46-9d32-e59731b99e65	937cb8a4-7940-4c47-bfaa-115ef4115c87.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-MP-A4SY	TCGA-MP-A4SY-01A	Primary Tumor
10817636-3e16-451f-8cc9-4e3e1e0c2fe4	0ecc1e6d-75f5-4935-a0c5-bf8413dd85cb.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-86-A456	TCGA-86-A456-01A	Primary Tumor
dd8fa1fc-e908-44dc-9bf5-33015627b59a	3c07e310-27af-4428-82a6-b6e6dfb39d0a.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-MP-A4TJ	TCGA-MP-A4TJ-01A	Primary Tumor
fea202fb-1a1e-4ef0-843c-f06e03064164	ca1518ed-cdd9-4e6e-92a2-3c63a8f18c33.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-64-5778	TCGA-64-5778-01A	Primary Tumor
2a540412-5dd8-459b-ae3d-fc876f1dbccb	03f54564-65bb-4561-ad33-ec78b883c217.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-55-7726	TCGA-55-7726-11A	Solid Tissue Normal
54aed217-98a4-46e1-8f62-5969a8519d9d	0a5aa815-9305-4ed3-a0fb-7b6dc6fc503d.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-55-7726	TCGA-55-7726-01A	Primary Tumor
999fc5c7-fb8b-4972-bdac-eade7890d403	be87b64e-ad87-4134-8b08-63b6282a755a.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-75-5126	TCGA-75-5126-01A	Primary Tumor
a902a20d-2076-4a6e-b82f-39b0192e4f26	288d037b-f94d-499b-89de-522307024233.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-91-6828	TCGA-91-6828-01A	Primary Tumor
f5e4512e-82ce-4cfd-85a6-1fc310f7f8ca	4883afa4-837c-482d-a1f2-6bfc35d49c47.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-99-8028	TCGA-99-8028-01A	Primary Tumor
5e1acc8b-23f2-47f7-a0da-5bbfe9322d05	c395a94d-0882-42bd-81f2-347dc832f858.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-49-AARQ	TCGA-49-AARQ-01A	Primary Tumor
fd053d27-10d2-43be-8132-08931be36a59	3914c22b-df2e-4987-b407-81f0259b9eab.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-55-8203	TCGA-55-8203-01A	Primary Tumor
82e0933a-8c23-4b37-8fd2-efd3f598d8ef	5d1eb8ea-1d60-4a4a-a4cc-282251453247.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-50-8459	TCGA-50-8459-01A	Primary Tumor
82472f24-d888-4e8c-94b4-f5e36e3addc4	a7bae2eb-334b-4798-a590-042d5ef5514f.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-95-A4VP	TCGA-95-A4VP-01A	Primary Tumor
f375ce36-34f0-4bf2-b5f2-5a5d5ab8f1c6	25024486-0b18-453d-8c24-ae20b95c13e5.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-05-4417	TCGA-05-4417-01A	Primary Tumor
